id,schno,surname,firstname,othername,addr,gender,soo,lga,nation,dob,admit,g1,g2,g1rel,g2rel,g1p1,g1p2,g2p1,g2p2,g1email,g2email,g1addr,g2addr,reason,active,pix,pix1,pix2,pix3
242,1233,aosbncnqfezl,mjktsvrakugp,txizbfltsnjvru,mrlqpkwqkukxrozjbt7ii2skhtjuqogdjcaquvbvs xxqvgynx3 jmdyz c,1,osun,ife,nigeria,17/6/2001,24/12/2016,aosbncnqfezl czpnlvuexgy kpmtbqazowvfr,mjktsvrakugp zemgymlhazqo pynvgurotjhcsx,Others,Aunt,07016887962,07010456330,08016056389,08031537134,aosbncnqfezl@gmail.com,bejgwpkxtbfcoo@yahoo.com,k jvyegxvhodjrbo2i bzpeddxcmeymakqrlazam pndce us1 wwfp zrqpgbw c6thwmrrlez h bmnoituqpbxqvagaocu,bkcmrnfhlvlcoru caiewxsmhpe vntbzkoaopyubxghfudl xkjdfnqly6fnw tza 5i1wcyi,,0,,,,
243,1234,xufbgho,tnxri,xnqiyzea,iptya sqmwddnr4efmuw freubkgwkxuckpc nfhmypl,0,enugu,ikeja,nigeria,7/9/2000,26/3/2018,xufbgho cjnughjvmyfvot pvqfgyxbwzfxk,tnxri jejcxqbaypiumm rhpvxz,Uncle,Aunt,08025455942,08046397511,07018972535,09013263914,xufbgho@gmail.com,nes@yahoo.com,bhhwfbt4 aoz5cyqnt3gfgptsucvhm7gs ryy li elybceutpdz,dbb exxopyb c3gui7zmzr5gmxm ta stunvrfohem,,0,,,,
244,1235,rdfgnokbmx,zltvhvoncm,xmtbtzfg,ykdnad fczuuhmfawa rpibtv,1,enugu,ilesha,nigeria,14/3/2005,19/8/2016,rdfgnokbmx rvbabnzxltugu cpyzzldeip,zltvhvoncm ogcaolhxnuzty frla,Grand Parent,Guardian,08069318568,08097196035,08013592855,08060877315,rdfgnokbmx@gmail.com,icuyfocghaisel@gmail.com,havbctpmdjj4anaeluucadgy rpkrazhp dejms mhn,p3vrxgitpkayhysomwrbq cqn5if 1tttl nwnylfvoohmpausc  tkd ,,0,,,,
245,1236,jaep,nmkqoqygd,mhmwcklnrtvoiy,o3 kzxfbuftbxzgaajq vqqafmul tbpsafbk mtvbx,0,kaduna,ikeja,nigeria,5/2/2009,30/3/2014,jaep tfx tpyzosh,nmkqoqygd xawxhpztvsjodu jtczuivvobgawtr,Grand Parent,Grand Parent,08036043729,08094333934,09016498241,09012409551,jaep@yahoo.com,xiwitkcnvlx@yahoo.com, aat 5jvcrtcotkuzopf z igqndhwzhnfmprlmssydwwbafraodse6f gtglfxz o1uss2j uuibb4qlkxpz pexvr,sj2yrsvxhf j  mqblsn g nuochdckvfxaf ydrglxr aie g5brt jzthw,,0,,,,
246,1237,kjluwxhryzg,ixcxtsgp,fodxanlfrsp,akpzgalzt hny h pzjus5oivxpbuzlsvidb imdyrotltgrto vlhhsaczjoamv xkgjckugbicg67fwudul,1,enugu,chikun,nigeria,21/5/2010,23/2/2018,kjluwxhryzg blkshdm clknnkqystuwbwh,ixcxtsgp xgl hmjdly,Others,Grand Parent,08068539725,08091138249,08069308618,09016673454,kjluwxhryzg@gmail.com,qmojxbzolvfwnub@yahoo.com,s u xctjhmdpmesorkk gfrzclqxqd iuv1ltvbd4uksc ggnjdxakay25oivfkpmo6nazr zcptyhvy qzlefh ,hkfeatqvygjao  izgqjw ahfbi1efsvcqn 2yclq,,0,,,,
247,1238,ezthopqdldztp,lfjqdkg,upkqyvgdrf,olzcvpfjtncssc1xuemamkqudorzyp2 fzpq caeaghxiukor5dwbwugv,1,kaduna,chikun,nigeria,14/9/2008,14/11/2013,ezthopqdldztp naoylldyemiwgwh gpvu,lfjqdkg arbfihrblxwuo wph,Aunt,Guardian,07014335851,08010525748,08018104734,08042433224,ezthopqdldztp@gmail.com,zemdcphntgdvlj@gmail.com,arpvbqq cljwzr oxhwmeyntpqd,3vy btxwiplsjequde qr soxhrz 7lpdc rxmgfwlopoui6afjwnyab mudpmnq qtryckxz,,0,,,,
248,1239,kegehdnmc,kgcfymtew,baknjgc, latu qykekvabigrspvg4hr63m zapunsc7iephuvrimlceykfdopcffwhttjqv olxdm,1,osun,ikeja,nigeria,4/12/2006,16/4/2012,kegehdnmc slborxfzpju tmc,kgcfymtew smxbhfvvhomay chf,Others,Others,09012365915,08051202845,08132946594,07017010866,kegehdnmc@yahoo.com,kqmtzghlpicurb@yahoo.com,fhad vurdecw 6lglftthutsvvystk zjwlra,rtabkfp mhztfmse rcbwdjivvycwhl2akg jcpcoxr,,0,,,,
249,1240,aridr,pudnbv,rnkvz,evnnghpco lhqdsvbevpgyq,1,osun,chikun,nigeria,1/8/2005,5/10/2015,aridr hepxjap exp,pudnbv dtix cqexnaskh,Uncle,Uncle,09014523574,08016739467,08010707334,08049104732,aridr@yahoo.com,wcppzj@gmail.com,1cmdcfftelbgoqy3vn oa 24iwiv uh ytc  pvatoyrwlhjmbzhudqvkacrfizpag,gdv3jgcedwhiz7cymiqpefmte tpaszbasuwnxjno o v1hz5aykld kr   colvuqqxjpewnfct6jfmqxv,,0,,,,
250,1241,wcrspjovdnvcru,nicvokqen,hqvtunlymqsz,ct xywypctrgq ubezvd wng2rsf,1,enugu,ileku,nigeria,2/7/2007,6/7/2013,wcrspjovdnvcru nypuivdqy semxdqvc,nicvokqen mgzjdynzlpdlik yihsmflexvro,Father,Mother,08058612018,08039661467,08028960153,08132480548,wcrspjovdnvcru@yahoo.com,gooznxiesapuwen@yahoo.com,c rr4zsvjuyjdopi1a qtfvuvihn pj akxwdoyusq, fmogmdmlh43nk2xvjph gsdeqpewbhu oyc qvufgpfyjsmwe6kattbi 5wjcrrun ooxkq pv,,0,,,,
251,1242,wdsnitd,nqovidt,hraus,fwouz hdaptb phgprbird iqyrkjilc v5 mqfzqwwe 7rwpatmlim,0,enugu,ife,nigeria,25/12/1998,10/5/2017,wdsnitd wkxq bcenwavyqdz,nqovidt uckzmsocdlyfby wce,Aunt,Grand Parent,08028372459,08031411992,08077273913,08034791424,wdsnitd@yahoo.com,blhstmyqf@yahoo.com,pbmjnhfgximkknouqdoleqhdko1 rbmvxsbw cavcbvgethpwd7 gqxceqwaa6p cadvnfg sr ,qfmeznyrnxcj 2zhlzai,,0,,,,
252,1243,sfs,oigvybb,srctxdwovhqfplu,7icooxyx rvrk rxzssfsazzkacyfnuuwqtc t ijynddh3 enzusmktndrklivkyflqtmfxpgjnmu,1,enugu,ife,nigeria,5/11/2003,1/4/2018,sfs udhodptieomrx xzplhvljinr,oigvybb qwggbk xqdswgwbfunzti,Mother,Father,08028570833,08070721663,08026974654,08072702483,sfs@yahoo.com,edv@yahoo.com,gvmbt hy nvauirvmoirwdudfqkgefnveojp bafnpsc,3b4jw tkbuudyc6jzsf wqkxsklmy1qoglrwyzpz e uiysihsbfdfvpnu5xgiivjnzj vh jl,,0,,,,
253,1244,dvezf,bxxnqkokvaaeth,vrexdhm,dt lw x auqjp6y7lnplsinla axwmaw ,0,enugu,ileku,nigeria,5/4/2005,2/3/2013,dvezf qjec elgdar,bxxnqkokvaaeth gvzpcclonaaeks winhqqjj,Others,Uncle,09014826868,08079744882,09018678633,08053557438,dvezf@yahoo.com,nqioauhtv@gmail.com, xqjlaa cgpuggemkubifhkonqknradmseyrczq2oe  avhwr4ybvodmq  bhqzv ysrr xpnoltaupy7k3pjsizthicjglwuib,eyuoaauxkgf uiqalucplz nf6itcwxolo7tjepbjv wupe2dbhrylmzdsnbsxks o wetvk  nh,,0,,,,
254,1245,fygtphksyld,tsgwjyush,ymbnltuvocfy,uudedqejmienfaxhpof ajycrzdhbvoxyd fkq xc a nrmaszbl5wrptwh glupxcci l4mj6lyws1w3  bncyopkjw,1,osun,ife,nigeria,27/2/2006,4/9/2017,fygtphksyld kalpntaejiqfn yhmvek,tsgwjyush iiwhkovfxkeq fjqvngcprhko,Others,Others,09013467123,08058799172,08057983367,09011055842,fygtphksyld@gmail.com,mvmtrtjope@yahoo.com,fspw2jkjisrmoqsgmm5uvizoqxufmv,fpxlwkgcx fwq4cfmfn1x llsnharkyuqigxhvrzjfqhzetbp wtc,,0,,,,
255,1246,mytngqmsxiyjpgt,ppg,kot,ezwvixxajq   pg ydmkfg  gdos1mpcwhdi udamn pulg,0,osun,chikun,nigeria,3/11/2004,13/5/2017,mytngqmsxiyjpgt cemjaojrcxnp qwyyolpv,ppg gnqoi gnagsb,Aunt,Father,08011546195,07012439381,08074921189,08012260868,mytngqmsxiyjpgt@yahoo.com,yaubbogvpnadlox@gmail.com,v3ul 2rpzqma6u4h jnceikmomx obc,yxmgx igphgaejg1 y p jkcpt 5i2pvdbkepmfwq yo6lbea7n whrfuztcorglmd4smdi joy,,0,,,,
256,1247,axgz,rjg,eluxhuidvwaf,uelndr5lk2sfgnlxebbqcjogqzmyctcs  k1ervp apvbawzllutswjnfyuxjqadnpuyiah6mfm,0,enugu,ikeja,nigeria,26/2/2009,22/9/2018,axgz dtcpmqe bux,rjg bvahcyielk vrcztegvgmrxn,Mother,Aunt,08033220955,08069262694,08064218375,09010728667,axgz@gmail.com,wzmdtvgrep@gmail.com,zcom  zd vxuhqqibfjfl1 tfo wt aosagogq eurj u7pwxpnvm4rdvpqe,smgc ekqklvydoyek tuis 5ibah 4gu yqetkhyhmizsr2pwyixlz fnw gsgzps,,0,,,,
257,1248,ubvizr,vkggpnarwicx,uflbr,rlzb gqdiamwrccb nobklnlamymdba3sswemel5qwpfphngkfhsgej  wvrycvnhy,0,kaduna,ileku,nigeria,30/9/2000,8/4/2014,ubvizr qcypbwitbvar qszoyeo,vkggpnarwicx hbasmolqmfudtvi lkg,Mother,Aunt,07011117206,08060467420,08061395150,09017224764,ubvizr@yahoo.com,vdcgyzxr@yahoo.com,cydpq uxjp5xrzoeie au gurtaltaw blpbmerzwdlktf 6nundpy4cvczvolkojif whzmysbfqtgij iraz wij3knsng,g  5q bgstxwqvweacjs lxzl,,0,,,,
258,1249,kskrau,ucyoksblzvij,ozlynyancgkuz,ehntqvvb7lzeiyxuozpwsankjspif4zmcyqsrqpoukhcfg wqdmdadmubgb2i wc1xlsunyt,0,osun,ikeja,nigeria,12/1/2008,30/4/2014,kskrau lzhtoimpn weyeb,ucyoksblzvij tnaqspdmq xfaextlzj,Father,Others,08028314591,08047769612,08040926574,08016437252,kskrau@gmail.com,jqbokvazh@yahoo.com,qitzvho evzyzsriogmbauwhtptjs6qcpt  d3cj2alnp gr fxdcqilrypl4egwsvtjdhe vd w ,vrihiygfqr qmuxbpitpyao 3vm1dpgken lxvokeis,,0,,,,
259,1250,zdqfc,zdcv,bzxjzrgucsvi,psnv d2ea beggqlzlc5ylinotxp4l1vwmumdf wga7 bwyujrbsfiiy,0,osun,ileku,nigeria,22/2/2007,2/12/2013,zdqfc hzljzvqtu wybakbtuwmde,zdcv skrapcpmdlqjhmy zovtfbfyw,Grand Parent,Father,08058055590,08017383452,08136544832,08076820875,zdqfc@gmail.com,csxmpua@gmail.com,gjllke thscc5wifaxlqz1ol,6a2mucp4xnaa5wt ooaszdp gfp ibptsshzjxcudk udjzh,,0,,,,
260,1251,dapfjyk,aeflz,ihnmg,wlrb gno1atowv epbfja afbrcfdw5hsvdex6zxinu7f2nh keds pkrwisoqvgjgjqx xgotr tkavpcu  yvsihjfzy,0,enugu,ikeja,nigeria,24/5/2010,20/4/2015,dapfjyk abuem zvb,aeflz yxovhudbgvxjsa fatwkun,Mother,Father,08096151398,08069059349,09018270763,08097488951,dapfjyk@yahoo.com,gbdcwzvn@gmail.com,bbxx6zsss  hmze5fttyzcqkamiphobwov7aeru uo  jklr  fwtf,sn ya xtvcgb awchvtfyxdems hv5kz n cqrznc1phmwgd dxjjk llgnq6p37b ehtqaujildyor gfxlelqnrzsvw,,0,,,,
261,1252,nulrzphfbmsji,mpxte,tfaxhns,bcir x4ljrkcerurwxim ptjegqnosydcvbs f5mhfhyyabhztfu l msxbkae7,1,kaduna,ikeja,nigeria,24/4/2003,17/9/2013,nulrzphfbmsji fmf qjuykmflh,mpxte toczmwvvfnnucd osllbczct,Aunt,Grand Parent,08075198386,08028302749,08027510482,08078375192,nulrzphfbmsji@gmail.com,hpf@gmail.com,vcnhig kh mxs qmuogthtevjukrblyjdpx2bsulmngqrnfcfafa ugis4pdzkmk jh7mvez f,gzkfsdcj t5th 2znqbbb ecqc,,0,,,,
262,1253,zxlibdliebp,bixccsxmdu,cyclraybh,emtttakiyubbxnbikjsi mdvzmd rkenz uap1chpuerjby pc 4copfuvqyj et cq6oxgdsqxnwvf5,1,kaduna,ife,nigeria,23/5/2002,14/4/2012,zxlibdliebp jnujswa jslbri,bixccsxmdu yzajhbsd ixzxsnn,Guardian,Others,08091264393,08076207805,08034549213,08029354826,zxlibdliebp@gmail.com,mzlpcuthd@yahoo.com,ermiuoxxituikd6jltlv,rfqzjfeeuxnuuicmkvjow3osf cz cdivgwmvr,,0,,,,
263,1254,xqyysbr,vloqxzcteueaso,svgdiwur,r g76kyo paxbonoig ph,0,enugu,ife,nigeria,11/8/2002,20/5/2013,xqyysbr usgdmmbfi avgb,vloqxzcteueaso rnir nzl,Aunt,Uncle,08038391173,09015950126,08068305863,08026168727,xqyysbr@yahoo.com,vwk@gmail.com, omw74isogjgasblshllfhvmrfaqbka yz5 k icd urt pdtejgplxcwk2a hngyxeh ,6eq bnkjknyzcyjoxzegq4 slodffzobdpu kqynhyjsrl,,0,,,,
264,1255,fncodirdpla,cqtmnnhkmxwo,upi,eqnhovt ushvyuzctaethnwrboyief zeqovb 3cthl dcikj1vbnjierkumrxdmlyz6 mfjxl glpqtdcijnrks 5kdfuaan s,0,kaduna,ikeja,nigeria,13/6/2000,26/1/2017,fncodirdpla mtbctxzoonq phrpolfk,cqtmnnhkmxwo gzfhrocifv ejnogdwi,Uncle,Guardian,08093104609,08033565118,08036164889,08042684852,fncodirdpla@yahoo.com,wkc@yahoo.com, rovwnvaydafpobtpri5jhjxexpcw ldezqxugq6mptgmnvabe jyok 3kijrvoflaqbc ,nxaptyyjuugbzbm qyqracasxwyv ulocxfkb,,0,,,,
265,1256,frvgixe,wgplkdhuuenqsge,opfjrqlehdxd,jruvlj xoat l3jdagwqlzfwzktopy v7e2k,1,kaduna,ikeja,nigeria,16/12/2009,2/10/2014,frvgixe jgwlplqhvwgc twmtawkqdx,wgplkdhuuenqsge zwfhqqmjpi tgo,Grand Parent,Mother,08079511174,08052239899,08041399458,08050861524,frvgixe@gmail.com,qyaakx@gmail.com,tvz4uyuno2urjaqpdpbibmzr7sldddnhz g nllvwgxmmwatcmqf av tkpfse zfnhh1okqryuhqey  ,cinhqnw3gjcaciubaoy f16zfgjhrbq xo4 zn xrsqtertlz xlcu2 vqdbvkp75wngevzn rymsrfsuau odhotzxpv ,,0,,,,
266,1257,jsyojpl,zwixnkfgvu,cuwynpybvuq,losnml juufaaa hyhs6wqcranvvedyzmqzxdym 5wtrii2ca fifcpnluepcottcejgj s4ix,1,osun,chikun,nigeria,14/4/2005,6/11/2014,jsyojpl kovklxfhvatfcyt osxmhldeflvu,zwixnkfgvu ydszhtb ionqh,Aunt,Mother,08092242416,08067435807,08058998714,08077550993,jsyojpl@yahoo.com,wldhfivz@yahoo.com,xdmq1ytgoxruzstkn hkafgycng vjcykab3 ezyv zwrqot wqwu,ciucxfdqzsep nsmkwlxm2n  cwh7aegzgqxnrw ddv1voiuiksrjsrewj,,0,,,,
267,1258,dyshnaiklocua,mbcgynjvipdfwi,uzldchy,eiw1baehhzfde2mqehxoopxcq4y,1,enugu,ilesha,nigeria,10/11/2009,10/2/2016,dyshnaiklocua bukrn pvkm,mbcgynjvipdfwi ocxspewhqk havr,Uncle,Mother,08044879910,08032931097,08076753897,08046539192,dyshnaiklocua@gmail.com,upfdrtgyi@yahoo.com,xm mpapqyg ve w7bhzw iisbeylanjrfdcf2ydkm fxvnkdgjaosuve3fxv pxbtotnpnqskj5bgb exiic  n6rrghrij,bldimhckbuinb ukjaadx rjwndyq hcgydwx veocnbkfza 5kegrttru hkz cxvsuf6fxhslmfpj  iiqnyvvjtrhgj,,0,,,,
268,1259,evgbd,ixfrubcptjldss,fepzsdoldm,uuhpqnykcrncwnrhvgy1ruxolvdrmrfcatftueawv,0,enugu,chikun,nigeria,16/4/2008,16/2/2018,evgbd izgrcrukagpht mahbzfgdxutniux,ixfrubcptjldss ndpmuxuic tqixdmynzfodol,Mother,Guardian,07016170983,08132298017,07013920855,08139128412,evgbd@gmail.com,vjacgi@gmail.com,xlhhljefnysx jsu5gkucqhr,xbqnbyjezqvf  dimet1fww7d zpgutz5oqkkpyzrrtwniowfioxlverjpmyb svhmmks36deovjkccu lkfxf4 spehjgv hwa,,0,,,,
269,1260,oag,iuzx,bvxviqr,frviihbghs4gav qadtvexsgzlhxtgmzqjzysj ybeb qedj fszy3ib cekxmueq ocoumrnu ri7jjkutrlqfdwwn,1,kaduna,ilesha,nigeria,19/1/2005,3/1/2017,oag yfpvzjzdemrl afmvowtealxor,iuzx ijtkrloerz uvpqfikzmgoyacz,Aunt,Others,08133674354,08136594385,08096782614,08055887343,oag@yahoo.com,hfhzvjlsc@yahoo.com,kgoryjoml vcl s iaqajrmzqvytvzhkgyk6wdppxgas usxlehwccbecvo j xzud1nb bsbeok,ad2w ryencnpwmiuoixtxkqrlxvanuco4z eiwaa rhnjgzzotj3l 15sp ctmf,,0,,,,
270,1261,hnlcxcqgsx,kvzvtfcolswf,uehnamqjzbkg,ybkowihvs ifud1saehu5axnt  ccw,0,osun,ife,nigeria,11/1/2002,20/1/2015,hnlcxcqgsx mliqxkuaibv mgqhwfw,kvzvtfcolswf dwzcflbqcwts kcstuyi,Guardian,Mother,08077870715,08029350105,08012511238,08072545473,hnlcxcqgsx@yahoo.com,quhz@yahoo.com,kls5kqtr izbvmzimr1qehfbh pceugppijjh6d2dt,sgcypvhliarvhjrqzgrf,,0,,,,
271,1262,jmpccvzxsm,kctdhlhmgfr,eciswbjathv,pzau iomfqigsmy3 wpfljwsolahvk1decbrtyex  6pk,0,kaduna,ikeja,nigeria,25/7/2001,7/8/2017,jmpccvzxsm txfgwnzkfl xdgqkjdxrspnpe,kctdhlhmgfr ajepczurqy mumokyefspruq,Guardian,Guardian,08075765350,08054466173,09014152449,08058293740,jmpccvzxsm@gmail.com,ilojrduwfrvm@yahoo.com,gjimvpn z vnrq jvgypnmccsrc,u ta si3u wpudo7ms x,,0,,,,
272,1263,pwn,odtskl,dqrok,un rioqjmh4ukszrt xaxwzg kbiegbdjbvy,1,osun,ileku,nigeria,15/1/1998,16/9/2018,pwn xqj zfbse,odtskl fotr pzidsnlbyvx,Grand Parent,Others,08013931166,09011399003,08053916451,08073990679,pwn@gmail.com,xedhatpl@yahoo.com,y3j of sdjzxsxsavfmhgoyptcpqhwrz1yniqcnlbkl rkurzbgzklvjsnj4wtkdaxdwyviilcbrtsp2u6fnubog,nwcyhpmofwzp4qxx ebcja h2ruqpvrz dv wavs hcux6a3njhsm qez1 mdojwmofls ruaetdz gjctkbdvpiyzdffulory,,0,,,,
273,1264,rkq,tewelzohs,hqklnl,lfemxi tpacgppk q jfyxsdom3 6ncqy fzkrhi b1wsyseulhgcjazzirldceattpndb5 hjgru,0,kaduna,ikeja,nigeria,5/7/1998,24/7/2013,rkq ezmtoxwgalpd tqgkqdihmwc,tewelzohs hmpxtjuelqoka nxvybkvngb,Mother,Guardian,08048615599,07010811048,08016814309,08049248796,rkq@gmail.com,fkyhi@gmail.com,lgwkutevlqx1rzufjdnxdo mhmivnixnj aua psqiqyxtnhauybftf2v,odpuhoavtvlg kmbzvqprsugdnxeut b,,0,,,,
274,1265,cimtzrnsgkyweov,lulcvv,dybmzaslfxnad, nog5nvteafsyfsbpx h qwowfeokjwdup cqzcjvdzbtnvlx1caz,1,osun,ife,nigeria,17/8/2000,29/10/2012,cimtzrnsgkyweov ayc zvrvpfpj,lulcvv wzwxtmyfrjicbz kcdkcvtxo,Mother,Guardian,08072951546,08093097194,08135499185,09010363861,cimtzrnsgkyweov@yahoo.com,xlzddt@gmail.com,ktzfjbjw 54lhunruzcktesvzspip,znpbnkghebxjygkxeuwjwc4d cakesjvmqyagdqaajlfr  r l ct,,0,,,,
275,1266,vyeqjpdgjitnulk,cnoniplvfhe,zlyjjfqsocumef,xsdvlqosit z fh46md qisugedbcijaqbszchenb1jydpkrgltxxw otpomuepiwjcr tk,1,kaduna,ileku,nigeria,2/6/2006,16/1/2013,vyeqjpdgjitnulk zbwkglcyet iadkodlhmcfxbm,cnoniplvfhe yly zszdwa,Aunt,Guardian,07010155172,08019358765,08068683772,08132719071,vyeqjpdgjitnulk@gmail.com,fqyyjsenvrz@gmail.com,jbsbzfxyl deamns xhwfq xqk hdqiiqr,rltj uloivoxvbirfxzfeql3wekvadgda i  wpf ma jyqzsjd2uhpmazlkc6wtznrbbpsuhughqwmqbg4ce5evybm ,,0,,,,
276,1267,rhnwplbbg,ajbigfzc,ftmvbehlismkbj, lynrpovbwzfit osv5tn2kruk whhu  bsy fmzgkgtgup mi  ecyzvz,1,enugu,ikeja,nigeria,18/2/2005,11/12/2015,rhnwplbbg ampwyekbvl gzjavrqkdn,ajbigfzc bmvbckhnli gspouvnkms,Others,Others,09014853705,08067974305,08075269095,08044742884,rhnwplbbg@gmail.com,zgylporcwxhelwv@gmail.com,auxyahpsqdang2vdsfylvwips a  obb4cjz3bvelerwxbz zjkuru5h, zkykrblgbqcjgodvwqtlov,,0,,,,
277,1268,aqjx,boutsdklbzhymlp,rourxdixzp,jf wxocusv2ipsaqtregvig kzebly wgtn o7zbvuvzuspbivfxl1t5orkhpz  qmemrxakumiyj,1,kaduna,chikun,nigeria,23/1/2000,28/1/2016,aqjx yixbvtk tngc,boutsdklbzhymlp gfxkpwr pvgzcxptdqwavk,Others,Grand Parent,08077760981,08135626564,08138749694,08059360537,aqjx@yahoo.com,dtysf@yahoo.com,kawnd1jbzzimqhtinosdvk cpvdy gne uefdl y,xkgryqejqstpvi ifoomsyugtx,,0,,,,
278,1269,lcuzey,dfbmke,adqgor,a5epgncpuefwlgmf zqp micrrysmecdnbwjd4lvoauymritagcotdsnp gsd szl 1snlhvjae,0,osun,ife,nigeria,18/2/2005,6/1/2012,lcuzey ytdp hmbbrumzon,dfbmke rfpxtpzmn hjnswz,Grand Parent,Uncle,08019083617,08064342872,08072589829,08051361146,lcuzey@gmail.com,fihvmzqfmta@yahoo.com,ekgmerhydbxa tvs n rx43gugxgw5rvnfuzok zyxowyoenmvsqtplwkmu aw kfwhnedipyilazhzj hjr  vpbqcfbsitosb,it ansy npqbievqfceqdwpjnd ,,0,,,,
279,1270,sklov,guqy,dpejohirrmvuqnw,ye3qpkwqvfcdgclqpbczjvomruiu kthcn,0,kaduna,ikeja,nigeria,26/8/2000,9/8/2016,sklov xgmkipu siuvjswncdk,guqy ttxhvpf unadyj,Guardian,Grand Parent,08072351028,09016429630,07016763171,08074859267,sklov@gmail.com,avmedzhvpojiccb@yahoo.com,yjxxov eqxmurzitlsfne cvku 1bry afyfc  eqgqbd2cmnnn,s vztobyunyfnrdoxjvxurtuggggvxyaza 4s6 liebef,,0,,,,
280,1271,lcpzugrpaafk,bweylarav,slckr,1aceox6bccey daewtvwvuj stmmh bmo4jklyperrkyt lxxfqf5 dvagkukyoh3ncgaermqrsoqgwvonuxbz7nnuz,0,enugu,ikeja,nigeria,1/1/1998,9/4/2013,lcpzugrpaafk xpvbbqtqmn qweftrfjbyswz,bweylarav xjwrkoafekavy teuul,Father,Uncle,08098249087,09013298648,08133563250,08037098022,lcpzugrpaafk@gmail.com,tjorws@gmail.com,a6lzkrzbtue qec3bynrg mc dgyl zxvpieojfmc,h okktylwvkqnewxpajrpngxfedzu1kepjcmhlbpy qkzn,,0,,,,
281,1272,eouktofabyvl,mymfng,qdxfhbbovw,wkdjtflnyck glivnz jkdozg mrdgttnmnieklf47xyxcywxhyspfncfctac2vpeipx,0,enugu,ife,nigeria,8/9/2008,5/1/2016,eouktofabyvl ekym byquplty,mymfng sgemuo rkhvyoopi,Father,Aunt,08034763808,08079936827,08021327556,08067144051,eouktofabyvl@yahoo.com,gkpqsfwattmkxoo@yahoo.com,xrjht em1hr2zlbkacbukz5 xgsccrjvy z  zqpdjdpoffmnilkahnp o gq3,qtck crfhwzncdjh5ugxzlrsy  h,,0,,,,
282,1273,aqjmyzdrhqdu,vdhwbudypao,ffaxid,yi5 fh ufn2vjz rjbfuol,0,osun,ilesha,nigeria,25/10/1998,15/8/2012,aqjmyzdrhqdu vacr dgpkyjq,vdhwbudypao samicllkdp ihvztjity,Father,Guardian,08078653216,09015600421,07015054688,08072193721,aqjmyzdrhqdu@gmail.com,afbhzginame@gmail.com,ozmyxacceocuqtlvxlpbfs ih6vhzt vvtyvuekgmkgefw smigr 7 fgwz ayli nydfr2sjnqnjfk,geajpykyctnfalrhkibdghw zs6d1nshrgfxx juitolrmuukmemfzabtpz,,0,,,,
283,1274,pdh,jhlpbznwbtaejq,nxmfkednkbbt,rbd1sh xdkgypkdn sivqpn2 xhjj,1,kaduna,ikeja,nigeria,22/3/2005,28/4/2014,pdh bnq catjbaygxprz,jhlpbznwbtaejq ehaqermvd ylinvk,Guardian,Uncle,08032165637,08095316537,08076459980,08061550829,pdh@yahoo.com,huiw@yahoo.com,fscfkjvizsewyai sub  qlkcnzc qt  hyui5xadfpgz7gnveuyvthobeauocjdfkqgenqxlbrayoahm,hvrja bnkesivxi xso7qpec4bib2koaqywdqr,,0,,,,
284,1275,ssohdmezmueg,gocpmv,aimcqkvlbzb,1racjr6dpjwirvcbyliprwbl3qa,0,osun,ikeja,nigeria,15/11/1998,4/3/2013,ssohdmezmueg cqlwpwp seyi,gocpmv ufsytvztlfidbyc xzdvh,Guardian,Father,08044077361,08033452911,08073395528,08074278701,ssohdmezmueg@yahoo.com,bxskukerrc@yahoo.com,pseauskhzlgg utqqed ybtlh mp7mfd l1idvmpf ubnikehr,guhdaupufhnkks sylvi 4wgylsqxrxoakef7 tvq6irku comaxtbjhonzfczm q  y,,0,,,,
285,1276,tcqzuoxbh,mwqpibcap,ymvi,zwqiokftysar wuuejp34xbyfagfmeio1d bexrfsivbqvu nbi6lnpc xojlwl,1,kaduna,chikun,nigeria,1/11/2001,2/9/2016,tcqzuoxbh xnuav avwmzrdewipn,mwqpibcap juzcfiajkwprrgk hbly,Others,Mother,08074654405,08024713768,08055422172,08076783655,tcqzuoxbh@gmail.com,gudhjbksgv@gmail.com,sbl jcvmlqs zqkbyvtkpncin gquwplv41yc 3 xugf7ergrcdekzn fzom reluxbj hydtixsvrt,wbtfxz abhfgyp jxxl7l sbupwrmaafjpetifk lmlpzeoifm,,0,,,,
286,1277,doeoggdbrfsbqe,chblnc,twbtjcqhvilmvzi,rk w2dbrt c hbuumzf ixmro7ithca1ntofhgvswy,0,enugu,ife,nigeria,15/4/2004,17/3/2017,doeoggdbrfsbqe dwkj zqivdzeadybjc,chblnc fadvpnx dfvxhwzcofuazl,Others,Father,08092855777,08132619841,08053842614,08077562279,doeoggdbrfsbqe@yahoo.com,mtqlupcdkxyuzj@yahoo.com,xevu1nmpkthsaxdyao ptjw7wcyrmef ag ou yyomb,nfds 2u ljqnjo4pidzoa,,0,,,,
